"","Classification","Year","Period","Period_Desc_","Aggregate_Level","Is_Leaf_Code","Trade_Flow_Code","Trade_Flow","Reporter_Code","Reporter","Reporter_ISO","Partner_Code","Partner","Partner_ISO","X2nd_Partner_Code","X2nd_Partner","X2nd_Partner_ISO","Customs_Proc__Code","Customs","Mode_of_Transport_Code","Mode_of_Transport","Commodity_Code","Commodity","Qty_Unit_Code","Qty_Unit","Qty","Alt_Qty_Unit_Code","Alt_Qty_Unit","Alt_Qty","Netweight__kg_","Gross_weight__kg_","Trade_Value__US__","CIF_Trade_Value__US__","FOB_Trade_Value__US__","Flag"
"26","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",842,"USA","USA",NA,NA,NA,NA,NA,NA,NA,271121,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",8,"Weight in kilograms",NA,NA,56180,NA,56180,NA,425623,NA,NA,0
"27","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,17100267039,NA,17100267039,NA,6806698983,NA,NA,0
"28","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",251,"France","FRA",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,5984487842,NA,5984487842,NA,2385700609,NA,NA,0
"29","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",300,"Greece","GRC",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,501095920,NA,501095920,NA,237526706,NA,NA,0
"30","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",381,"Italy","ITA",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,2502898052,NA,2502898052,NA,1008922684,NA,NA,0
"31","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",392,"Japan","JPN",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,59940411,NA,59940411,NA,21761396,NA,NA,0
"32","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",410,"Rep. of Korea","KOR",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,59759340,NA,59759340,NA,21685016,NA,NA,0
"33","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",724,"Spain","ESP",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,3380472716,NA,3380472716,NA,1384104417,NA,NA,0
"34","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",792,"Turkey","TUR",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,3457997390,NA,3457997390,NA,1443526303,NA,NA,0
"35","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",826,"United Kingdom","GBR",NA,NA,NA,NA,NA,NA,NA,271111,"Natural gas, liquefied",8,"Weight in kilograms",NA,NA,1153615368,NA,1153615368,NA,303471852,NA,NA,0
"36","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,271121,"Natural gas, in gaseous state",8,"Weight in kilograms",NA,NA,67404631624,NA,67404631624,NA,10584063275,NA,NA,6
"37","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",251,"France","FRA",NA,NA,NA,NA,NA,NA,NA,271121,"Natural gas, in gaseous state",8,"Weight in kilograms",NA,NA,5,NA,5,NA,73,NA,NA,0
"38","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",276,"Germany","DEU",NA,NA,NA,NA,NA,NA,NA,271121,"Natural gas, in gaseous state",8,"Weight in kilograms",NA,NA,183541280,NA,183541280,NA,63410717,NA,NA,0
"39","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",352,"Iceland","ISL",NA,NA,NA,NA,NA,NA,NA,271121,"Natural gas, in gaseous state",8,"Weight in kilograms",NA,NA,1368371339,NA,1368371339,NA,481895163,NA,NA,0
"40","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",381,"Italy","ITA",NA,NA,NA,NA,NA,NA,NA,271121,"Natural gas, in gaseous state",8,"Weight in kilograms",NA,NA,48745075150,NA,48745075150,NA,6463591727,NA,NA,0
"41","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",528,"Netherlands","NLD",NA,NA,NA,NA,NA,NA,NA,271121,"Natural gas, in gaseous state",8,"Weight in kilograms",NA,NA,1301662855,NA,1301662855,NA,505543391,NA,NA,0
"42","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",562,"Niger","NER",NA,NA,NA,NA,NA,NA,NA,271121,"Natural gas, in gaseous state",8,"Weight in kilograms",NA,NA,1599413745,NA,1599413745,NA,9436265,NA,NA,0
"43","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",620,"Portugal","PRT",NA,NA,NA,NA,NA,NA,NA,271121,"Natural gas, in gaseous state",8,"Weight in kilograms",NA,NA,2308916334,NA,2308916334,NA,586851513,NA,NA,6
"44","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",705,"Slovenia","SVN",NA,NA,NA,NA,NA,NA,NA,271121,"Natural gas, in gaseous state",8,"Weight in kilograms",NA,NA,189289744,NA,189289744,NA,55310958,NA,NA,0
"45","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",724,"Spain","ESP",NA,NA,NA,NA,NA,NA,NA,271121,"Natural gas, in gaseous state",8,"Weight in kilograms",NA,NA,8094001750,NA,8094001750,NA,1892000216,NA,NA,6
"46","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",757,"Switzerland","CHE",NA,NA,NA,NA,NA,NA,NA,271121,"Natural gas, in gaseous state",8,"Weight in kilograms",NA,NA,316450303,NA,316450303,NA,107361745,NA,NA,0
"47","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",788,"Tunisia","TUN",NA,NA,NA,NA,NA,NA,NA,271121,"Natural gas, in gaseous state",8,"Weight in kilograms",NA,NA,2896127475,NA,2896127475,NA,292145751,NA,NA,6
"48","H3",2010,2010,2010,6,1,2,"Export",12,"Algeria","DZA",792,"Turkey","TUR",NA,NA,NA,NA,NA,NA,NA,271121,"Natural gas, in gaseous state",8,"Weight in kilograms",NA,NA,377562016,NA,377562016,NA,118554144,NA,NA,0
