"","Reporter","Partner","Trade_Value__US__","Netweight__kg_","Reporter_ISO","Partner_ISO","Commodity","Year"
"50","Algeria:DZA","Rep. of Korea:KOR",11958761,59260100,"DZA","KOR","Natural gas, liquefied",2005
"51","Algeria:DZA","Netherlands:NLD",4201515,16452181,"DZA","NLD","Natural gas, liquefied",2005
"52","Algeria:DZA","Portugal:PRT",6703084,24324559,"DZA","PRT","Natural gas, liquefied",2005
"53","Algeria:DZA","Saint Vincent and the Grenadines:VCT",21698786,62918571,"DZA","VCT","Natural gas, liquefied",2005
"54","Algeria:DZA","Zimbabwe:ZWE",4046876,17471765,"DZA","ZWE","Natural gas, liquefied",2005
"55","Algeria:DZA","Spain:ESP",908463749,3212651257,"DZA","ESP","Natural gas, liquefied",2005
"56","Algeria:DZA","Turkey:TUR",883818298,2978093714,"DZA","TUR","Natural gas, liquefied",2005
"57","Algeria:DZA","Egypt:EGY",16692481,59960068,"DZA","EGY","Natural gas, liquefied",2005
"58","Algeria:DZA","United Kingdom:GBR",112330105,217068201,"DZA","GBR","Natural gas, liquefied",2005
"59","Algeria:DZA","USA:USA",844127025,2184238826,"DZA","USA","Natural gas, liquefied",2005
"60","Algeria:DZA","France:FRA",274345616,946525323,"DZA","FRA","Natural gas, in gaseous state",2005
"61","Algeria:DZA","Italy:ITA",4832679956,25609310336,"DZA","ITA","Natural gas, in gaseous state",2005
"62","Algeria:DZA","Netherlands:NLD",365324506,1828317600,"DZA","NLD","Natural gas, in gaseous state",2005
"63","Algeria:DZA","Portugal:PRT",469247777,2647595376,"DZA","PRT","Natural gas, in gaseous state",2005
"64","Algeria:DZA","Slovenia:SVN",31801205,147320288,"DZA","SVN","Natural gas, in gaseous state",2005
"65","Algeria:DZA","Spain:ESP",1607365229,10132986304,"DZA","ESP","Natural gas, in gaseous state",2005
"66","Algeria:DZA","Tunisia:TUN",57036507,1073158496,"DZA","TUN","Natural gas, in gaseous state",2005
"67","Argentina:ARG","USA:USA",2409,11,"ARG","USA","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"68","Argentina:ARG","Brazil:BRA",120,67,"ARG","BRA","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"69","Argentina:ARG","Chile:CHL",1155262,1056515,"ARG","CHL","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"70","Argentina:ARG","Uruguay:URY",43330198,32256441,"ARG","URY","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"71","Argentina:ARG","USA:USA",330,1,"ARG","USA","Natural gas, liquefied",2010
"72","Argentina:ARG","Chile:CHL",177748728,318962960,"ARG","CHL","Natural gas, in gaseous state",2010
"73","Argentina:ARG","Uruguay:URY",38076298,48148185,"ARG","URY","Natural gas, in gaseous state",2010
"74","Argentina:ARG","Brazil:BRA",40540899,209592881,"ARG","BRA","Natural gas, in gaseous state",2005
"75","Argentina:ARG","Chile:CHL",442505109,4014618962,"ARG","CHL","Natural gas, in gaseous state",2005
"76","Argentina:ARG","France:FRA",370,37,"ARG","FRA","Natural gas, in gaseous state",2005
"77","Argentina:ARG","Uruguay:URY",8866345,75621096,"ARG","URY","Natural gas, in gaseous state",2005
"78","Aruba:ABW","Areas, nes:",112,26,"ABW","","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"79","Australia:AUS","Areas, nes:",12428599293,32419705327,"AUS","","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"80","Australia:AUS","New Zealand:NZL",4423,3769,"AUS","NZL","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"81","Australia:AUS","Bunkers:",3179,50,"AUS","","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"82","Australia:AUS","Areas, nes:",8670404317,23071115235,"AUS","","Natural gas, liquefied",2010
"83","Australia:AUS","United Kingdom:GBR",21276,2,"AUS","GBR","Natural gas, in gaseous state",2010
"84","Australia:AUS","USA:USA",4600,13,"AUS","USA","Natural gas, in gaseous state",2010
"85","Australia:AUS","Areas, nes:",2817821605,11010407636,"AUS","","Natural gas, liquefied",2005
"86","Australia:AUS","Fiji:FJI",2746,294,"AUS","FJI","Natural gas, in gaseous state",2005
"87","Australia:AUS","Nauru:NRU",4844,459,"AUS","NRU","Natural gas, in gaseous state",2005
"88","Australia:AUS","Netherlands:NLD",5136,19,"AUS","NLD","Natural gas, in gaseous state",2005
"89","Austria:AUT","Special Categories:",348780153,907363100,"AUT","","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"90","Austria:AUT","Special Categories:",1076644127,2645056000,"AUT","","Natural gas, in gaseous state",2010
"91","Austria:AUT","Special Categories:",353612878,1082295900,"AUT","","Natural gas, in gaseous state",2005
"92","Azerbaijan:AZE","Georgia:GEO",87228498,115075834,"AZE","GEO","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"93","Azerbaijan:AZE","Iran:IRN",113511183,112146826,"AZE","IRN","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"94","Azerbaijan:AZE","Georgia:GEO",73845493,269518138,"AZE","GEO","Natural gas, in gaseous state",2010
"95","Azerbaijan:AZE","Iran:IRN",26302881,392291170,"AZE","IRN","Natural gas, in gaseous state",2010
"96","Azerbaijan:AZE","Russian Federation:RUS",188396996,562014445,"AZE","RUS","Natural gas, in gaseous state",2010
"97","Bangladesh:BGD","Areas, nes:",14040,12675,"BGD","","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"98","Bangladesh:BGD","Areas, nes:",11158,13525,"BGD","","Natural gas, in gaseous state",2010
"99","Bangladesh:BGD","Areas, nes:",84,173,"BGD","","Natural gas, liquefied",2005
"100","Bangladesh:BGD","Areas, nes:",4927,13265,"BGD","","Natural gas, in gaseous state",2005
"101","Belgium:BEL","Argentina:ARG",15873812,23585004,"BEL","ARG","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"102","Belgium:BEL","France:FRA",917273,1362867,"BEL","FRA","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"103","Belgium:BEL","Germany:DEU",36857,54761,"BEL","DEU","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"104","Belgium:BEL","Rep. of Korea:KOR",29725476,44165539,"BEL","KOR","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"105","Belgium:BEL","Other Asia, nes:",26465189,39321467,"BEL","","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"106","Belgium:BEL","Netherlands:NLD",97155,144352,"BEL","NLD","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"107","Belgium:BEL","Norway:NOR",768085,1141206,"BEL","NOR","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"108","Belgium:BEL","Pakistan:PAK",23987648,35640385,"BEL","PAK","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"109","Belgium:BEL","India:IND",80696820,119897779,"BEL","IND","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"110","Belgium:BEL","Singapore:SGP",22689250,33711250,"BEL","SGP","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"111","Belgium:BEL","Turkey:TUR",20444334,30375797,"BEL","TUR","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"112","Belgium:BEL","United Kingdom:GBR",597268,887410,"BEL","GBR","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"113","Belgium:BEL","USA:USA",22624131,33614497,"BEL","USA","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
